censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2704470,50174,6249,424,15.13745091,2377,84.86254909,507,17.57975035,2377,82.42024965
2705430,44181,4298,310,18.37581506,1377,81.62418494,354,20.45060659,1377,79.54939341
2705460,89782,6782,262,4.139674514,6067,95.86032549,397,6.141707921,6067,93.85829208
2705730,48125,3487,228,13.09592188,1513,86.90407812,346,18.61215707,1513,81.38784293
2705760,64831,5735,295,15.52631579,1605,84.47368421,369,18.69300912,1605,81.30699088
2705790,72127,1670,2592,6.750175786,35807,93.24982421,3815,9.628489223,35807,90.37151078
2706060,56893,2959,349,12.76051188,2386,87.23948812,489,17.00869565,2386,82.99130435
2706090,55821,2140,2051,10.31378859,17835,89.68621141,2689,13.10173455,17835,86.89826545
2706150,50814,7628,359,14.15057154,2178,85.84942846,483,18.15107103,2178,81.84892897
2714070,45951,2661,610,17.98879387,2781,82.01120613,819,22.75,2781,77.25
2714280,62212,4279,148,10.89837997,1210,89.10162003,172,12.44573082,1210,87.55426918
2714190,71535,2574,295,13.72731503,1854,86.27268497,434,18.96853147,1854,81.03146853
2714220,106103,2707,894,3.694825591,23302,96.30517441,1397,5.656099437,23302,94.34390056
2714260,71796,2200,2229,6.826116249,30425,93.17388375,2755,8.303194696,30425,91.6968053
2714970,61197,3676,844,9.769649265,7795,90.23035074,1002,11.39024668,7795,88.60975332
2715030,70076,4019,943,7.141234381,12262,92.85876562,1523,11.04824084,12262,88.95175916
2715510,45281,4627,259,15.19953052,1445,84.80046948,317,17.99091941,1445,82.00908059
2715750,74230,6979,361,9.777898158,3331,90.22210184,470,12.36516706,3331,87.63483294
2716830,62679,10493,42,11.898017,311,88.101983,59,15.94594595,311,84.05405405
2716980,78854,4387,246,6.130077249,3767,93.86992275,276,6.826613901,3767,93.1733861
2717010,43542,7186,78,15.75757576,417,84.24242424,89,17.58893281,417,82.41106719
