,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2732970,"Sebeka Public School District, Minnesota",27,32970,2732970,1400,51583,4554,210,1166,83.29,15.0,279,1166,83.29,19.93
2733000,"Shakopee Public School District, Minnesota",27,33000,2733000,3900,84905,4234,811,15003,384.69,20.79,1114,15003,384.69,28.56
2733210,"Sleepy Eye Public School District, Minnesota",27,33210,2733210,1200,58524,5613,382,2251,187.58,31.83,443,2251,187.58,36.92
2733270,"South St. Paul Public School District, Minnesota",27,33270,2733270,2100,61228,3021,898,7959,379.0,42.76,1097,7959,379.0,52.24
2733300,"Spring Grove School District, Minnesota",27,33300,2733300,700,51125,4769,193,950,135.71,27.57,200,950,135.71,28.57
2733330,"Spring Lake Park Public Schools, Minnesota",27,33330,2733330,2700,70404,3859,1221,12392,458.96,45.22,1402,12392,458.96,51.93
2733390,"Springfield Public School District, Minnesota",27,33390,2733390,1100,54421,1896,228,1330,120.91,20.73,309,1330,120.91,28.09
2733420,"St. Anthony-New Brighton Schools, Minnesota",27,33420,2733420,1100,70143,5393,552,4830,439.09,50.18,699,4830,439.09,63.55
2733450,"St. Charles Public School District, Minnesota",27,33450,2733450,1300,72120,5382,234,2102,161.69,18.0,390,2102,161.69,30.0
2733480,"St. Clair Public School District, Minnesota",27,33480,2733480,900,76795,5153,82,992,110.22,9.11,100,992,110.22,11.11
2733510,"St. Cloud Public School District, Minnesota",27,33510,2733510,10000,50814,1828,3040,37999,379.99,30.4,4531,37999,379.99,45.31
2733540,"St. Francis Public School District, Minnesota",27,33540,2733540,3900,87975,3059,553,11368,291.49,14.18,907,11368,291.49,23.26
2733600,"St. James Public School District, Minnesota",27,33600,2733600,1200,52333,4128,515,2526,210.5,42.92,776,2526,210.5,64.67
2733780,"St. Louis Park Public School District, Minnesota",27,33780,2733780,4500,76888,3013,1486,22085,490.78,33.02,2057,22085,490.78,45.71
2733790,"St. Michael-Albertville School District, Minnesota",27,33790,2733790,950,101386,9970,443,7876,829.05,46.63,695,7876,829.05,73.16
